Name,PID,Smiles,Details,Condition,Reference,Year,He,H2,O2,N2,CO2,CH4,log10_He,log10_H2,log10_O2,log10_N2,log10_CO2,log10_CH4
Ethyl cellulose,,C1(C(C(C(C(O*)O1)OCC)OCC)*)OCC,Cellulosic Polymers,,http://dx.doi.org/10.1021/ma060601w,2006,53,76,18,5,110,12,1.72427587,1.880813592,1.255272505,0.698970004,2.041392685,1.079181246
Ethyl Cellulose 1 (49 wt% ethoxy),,C1(C(C(C(C(O*)O1)OCC)OCC)*)OCC,Cellulosic Polymers,,http://www.sciencedirect.com/science/article/pii/S0376738808000227,2008,47,68,15,4.3,91,9.2,1.672097858,1.832508913,1.176091259,0.633468456,1.959041392,0.963787827
Ethyl Cellulose 2 (45.6 wt% ethoxy),,C1(C(C(C(C(O*)O1)OCC)OCC)*)OCC,Cellulosic Polymers,,http://www.sciencedirect.com/science/article/pii/S0376738808000227,2008,41,59,13,3.5,80,7.5,1.612783857,1.770852012,1.113943352,0.544068044,1.903089987,0.875061263
Cellulose acetate 3 (36.7 wt% acetyl),,C1(C(C(C(C(O*)O1)OC(C)=O)OC(C)=O)*)OC(C)=O,Cellulosic Polymers,,http://www.sciencedirect.com/science/article/pii/S0376738808000227,2008,15,12,0.67,0.14,4.6,0.15,1.176091259,1.079181246,-0.173925197,-0.853871964,0.662757832,-0.823908741
Cellulose acetate 4 (26.9 wt% acetyl),,C1(C(C(C(C(O*)O1)OC(C)=O)OC(C)=O)*)OC(C)=O,Cellulosic Polymers,,http://www.sciencedirect.com/science/article/pii/S0376738808000227,2008,8.4,5.7,0.28,0.044,1.7,0.045,0.924279286,0.755874856,-0.552841969,-1.356547324,0.230448921,-1.346787486
Poly(phenylene vinylene) 3b,,C1(=CC(=CC=C1C=C*)*)[Si](CC)(CC)CC,Conjugated Polymers (excl. subst. acetylenes/propynes),,http://dx.doi.org/10.1002/app.32135,2010,,,6.6,1.8,24,,,,0.819543936,0.255272505,1.380211242,
Poly(phenylene vinylene) 3c,,C1(=CC(=CC=C1C=C*)*)[Si](C)(C)C(C)(C)C,Conjugated Polymers (excl. subst. acetylenes/propynes),,http://dx.doi.org/10.1002/app.32135,2010,,,6.5,1.5,26,,,,0.812913357,0.176091259,1.414973348,
Poly(phenylene vinylene) 3d,,C1(=CC(=CC=C1C=C*)*)[Si](C)(C)CCCC,Conjugated Polymers (excl. subst. acetylenes/propynes),,http://dx.doi.org/10.1002/app.32135,2010,,,3.5,1.1,14,,,,0.544068044,0.041392685,1.146128036,
Poly(phenylene vinylene) 3e,,C1(=CC(=CC=C1C=C*)*)[Si](C)(C)CCCCCCCC,Conjugated Polymers (excl. subst. acetylenes/propynes),,http://dx.doi.org/10.1002/app.32135,2010,,,12,3.9,60,,,,1.079181246,0.591064607,1.77815125,
Poly(phenylene vinylene) 3f,,C1(=CC(=CC=C1C=C*)*)[Si](C)(C)CCCCCCCCCCCCCCCCCCC,Conjugated Polymers (excl. subst. acetylenes/propynes),,http://dx.doi.org/10.1002/app.32135,2010,,,12,4.5,61,,,,1.079181246,0.653212514,1.785329835,
Cis-polypentenamer,,*CCCC=C*,Hydrocarbon Elastomers,,http://www.sciencedirect.com/science/article/pii/S0011916406005340,2006,240,415,310,100,2000,430,2.380211242,2.618048097,2.491361694,2,3.301029996,2.633468456
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Poly-p-xylylene,,C1=CC(=CC=C1C*)C*,Parylenes,,http://hiscale.ftecs.com/chapter 4/absorberfoil-data.html,2009,2.5,3.2,0.24,0.047,1.3,,0.397940009,0.505149978,-0.619788758,-1.327902142,0.113943352,
