,Smiles,ID
1,*C(C*)C,P010002.mol
2,*C(C*)CC,P010003.mol
3,*C(C*)CCC,P010004.mol
4,*C(C*)C(C)C,P010006.mol
5,*C(C*)CCCC,P010007.mol
6,*C(C*)CC(C)C,P010008.mol
7,*C(C*)CCCCC,P010009.mol
8,*C(C*)CCCCCCC,P010012.mol
9,*C(C*)CCCCCCCC,P010013.mol
10,*C(C*)(C)C,P010014.mol
11,*C(C*)(CC)C,P010015.mol
12,*C(CC*)(C)C,P010016.mol
13,*C(C(C*)C)(C)C,P010017.mol
14,*C(CCC*)(C)C,P010018.mol
15,*C(CCC*)(CC)C,P010019.mol
16,*C(CCCCCCC*)C,P010020.mol
17,*C(C*)C1CCCC1,P010023.mol
18,*C(C*)CC1CCCC1,P010024.mol
19,*C(C*)C1CCCCC1,P010025.mol
20,*C(C*)CC1CCCCC1,P010026.mol
21,*C(C*)Cc1ccccc1,P010027.mol
22,*C(C*)CCc1ccccc1,P010028.mol
23,*C(C*)CCCCCC,P010040.mol
24,*C(C*)CCCCCCCCCC,P010042.mol
25,*C(C*)CCCCCCCCCCCC,P010043.mol
26,*C(C*)CCCCCCCCCCCCCCCC,P010044.mol
27,*C(C*)CC(C)(C)C,P010055.mol
28,*C(C*)CCC1CCCCC1,P010060.mol
29,*C(C*)(CCC)C,P010065.mol
32,*C(C(CC*)C)C,P010075.mol
33,*C(C*)CCCCCCCCCCCCCC,P010080.mol
34,*C=CCCCCCC*,P010081.mol
35,*C(C*)C1CC(CCC1)C,P010091.mol
36,*C(C*)C1CCC(CC1)C,P010092.mol
37,*C(=CCC*)CCCCCCC,P010096.mol
38,*C(=CCC*)C(C)C,P010097.mol
39,*C1CC(CC1)C=C*,P010103.mol
40,*C=CCCCCCCCCCC*,P010106.mol
41,*C=C*,P014362.mol
42,*C1(CCCCC1)C*,P014500.mol
43,*C(C*)c1ccccc1,P020001.mol
44,*C(C*)c1c(cccc1)C,P020002.mol
45,*C(C*)c1c(cccc1)COC,P020005.mol
46,*C(C*)c1c(cccc1)COCC,P020006.mol
47,*C(C*)c1c(cccc1)COCCC,P020007.mol
48,*C(C*)c1c(cccc1)COC(C)C,P020008.mol
49,*C(C*)c1c(cccc1)COCCCC,P020009.mol
50,*C(C*)c1c(cccc1)COCCCCC,P020010.mol
