,Smiles,He,H2,O2,N2,CO2,CH4,ONdist,CCdist,CNdist,HCdist
246133,*C(C)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N1C(=O)C2Cc3c(c(OCCCCCCCCCCCC)c4c(c3OCCCCCCCCCCCC)CC3C(=O)N(*)C(=O)C3C4)CC2C1=O,5.013080024827086,5.177779745094622,6.061173649094172,6.1347934219455205,6.561851604245998,5.274576406829102,-0.08832740703245423,1.2237722167041305,0.10536582431478142,-0.7224202560040709
246058,*C(C)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N1C(=O)c2ccc3c4ccc5c6c(cc(N(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c(c7ccc(c2c37)C1=O)c64)C(=O)N(*)C5=O,4.614243435243349,4.719584543985823,5.42378079453148,5.532363690930735,5.863222533625452,4.429619546652167,-0.23579036941067588,1.1050401368670841,-0.2327410882205314,-0.6810286111269016
999820,*C(C)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N1C(=O)c2ccc3c4ccc5c6c(cc(N(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c(c7ccc(c2c37)C1=O)c64)C(=O)N(*)C5=O,3.893418287151845,3.9721502076793618,4.598188521473653,4.960058997134597,5.243787136977035,3.5807402776474264,-0.634794984867072,1.0994702197349986,-0.4943577317405444,-1.1337166629945297
246143,*C(C)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N(C(=O)CCCCCCCCCCCCCCCCC)C(=O)N/C=C/NC(=O)N(*)C(=O)CCCCCCCCCCCCCCCCC,4.82901642756747,4.905795798179073,5.748788601384871,5.960718284041225,6.352661115252942,5.135690142699853,-0.2817732777581521,1.0741011203163575,-0.0021839066192206325,-0.9033648637595552
999888,*C(C)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N1C(=O)c2ccc3c4ccc5c6c(cc(N(CCCCCCCCCCCC)CCCCCCCCCCCC)c(c7ccc(c2c37)C1=O)c64)C(=O)N(*)C5=O,3.40279282742746,3.579669674165213,4.013658598158435,4.362236766859696,4.681770865381877,2.835720795749899,-0.7246722093725246,1.0692444565941641,-0.6531557452197903,-1.1346763782211429
246167,*C(C)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N(C(=O)CCCCCCC/C=C/CCCCCCCC)C(=O)CC[C@@H](NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)N(*)C(=O)CCCCCCC/C=C/CCCCCCCC,4.6715451579909875,4.763437740294765,5.494752772086748,5.6251668560432755,6.0658017732153136,4.7920583996327615,-0.24509500292944364,1.0220390869767448,-0.05281984768023856,-0.8207046125707484
246077,*C(C)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N(C(=O)CCCCCCCC=CCCCCCCCC)C(=O)CCC(NC(=O)c1ccc(N(C)Cc2cnc3nc(N)nc(N)c3n2)cc1)C(=O)N(*)C(=O)CCCCCCCC=CCCCCCCCC,4.6715451579909875,4.763437740294765,5.494752772086748,5.6251668560432755,6.0658017732153136,4.7920583996327615,-0.24509500292944364,1.0220390869767448,-0.05281984768023856,-0.8207046125707484
37724,*c1cc(NC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)Nc2ccc(C)c(N3C(=O)c4ccc5c6ccc7c8c(cc(N(CCCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC)c(c9ccc(c4c59)C3=O)c86)C(=O)N(*)C7=O)c2)ccc1C,3.937396809803962,4.142768238829497,4.406873290465724,4.541217767654646,4.971106969853488,3.3492087552164977,-0.44103612466794895,0.9548667196357061,-0.4426150098008813,-0.6163011618754367
37799,*c1cc(NC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)Nc2ccc(C)c(N3C(=O)C4Cc5c(c(OCCCCCCCCCCCC)c6c(c5OCCCCCCCCCCCC)CC5C(=O)N(*)C(=O)C5C6)CC4C3=O)c2)ccc1C,4.165334708728795,4.274161076678093,4.842208593358668,4.842822334209047,5.333605272080899,3.901776076113312,-0.23046870736880143,0.9023295568313823,-0.25620247141754937,-0.7903289382227155
246041,*C(C)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N1C(=O)C2Cc3c(c(OCCCCCCCC)c4c(c3OCCCCCCCC)CC3C(=O)N(*)C(=O)C3C4)CC2C1=O,4.899164654861488,5.076452877563634,5.749432578196606,5.884163599635518,6.219101861578017,5.126245803375491,-0.20446095463343905,0.8993138251215282,-0.10543475486175008,-0.5250142651116423
